best,cos_T1_min,method,seed,top_1pct
1.0,,random,0,0.14285714285714285
1.0,,adalead,0,2.4285714285714284
1.0,0.9999998807907104,price_rl_wt,0,0.20408163265306123
1.0,0.9999996423721313,price_rl_esm2_proxy,0,3.5918367346938775
1.0,,random,1,0.10204081632653061
1.0,,adalead,1,5.714285714285714
1.0,0.9999987483024597,price_rl_wt,1,2.0816326530612246
1.0,0.999999463558197,price_rl_esm2_proxy,1,0.5714285714285714
1.0,,random,2,0.14285714285714285
1.0,,adalead,2,5.979591836734694
1.0,0.9999997019767761,price_rl_wt,2,0.6938775510204082
1.0,0.9999995231628418,price_rl_esm2_proxy,2,0.6122448979591837
1.0,,random,3,0.061224489795918366
1.0,,adalead,3,2.163265306122449
1.0,0.9999994039535522,price_rl_wt,3,1.183673469387755
1.0,0.9999998211860657,price_rl_esm2_proxy,3,0.7959183673469388
1.0,,random,4,0.12244897959183673
1.0,,adalead,4,5.959183673469388
1.0,0.9999995827674866,price_rl_wt,4,1.3061224489795917
1.0,0.9999995231628418,price_rl_esm2_proxy,4,0.5102040816326531
