best,cos_T1_min,dataset,method,seed,top_1pct
1.0,,TEM1_Stiffler2015,random,0,0.8163265306122449
1.0,,TEM1_Stiffler2015,adalead,0,67.57142857142857
1.0,0.999999463558197,TEM1_Stiffler2015,price_rl_wt,0,55.57142857142857
1.0,,TEM1_Stiffler2015,random,1,0.9183673469387755
1.0,,TEM1_Stiffler2015,adalead,1,68.85714285714286
1.0,0.9999991059303284,TEM1_Stiffler2015,price_rl_wt,1,62.04081632653061
1.0,,TEM1_Stiffler2015,random,2,0.7959183673469388
1.0,,TEM1_Stiffler2015,adalead,2,68.12244897959184
1.0,0.9999995231628418,TEM1_Stiffler2015,price_rl_wt,2,0.4897959183673469
1.0,,TEM1_Stiffler2015,random,3,0.7551020408163265
1.0,,TEM1_Stiffler2015,adalead,3,56.59183673469388
1.0,0.9999993443489075,TEM1_Stiffler2015,price_rl_wt,3,67.83673469387755
1.0,,TEM1_Stiffler2015,random,4,0.7551020408163265
1.0,,TEM1_Stiffler2015,adalead,4,67.6734693877551
1.0,0.9999995231628418,TEM1_Stiffler2015,price_rl_wt,4,62.734693877551024
1.0,,Enhancer_BCL11A,random,0,12.882352941176471
1.0,,Enhancer_BCL11A,adalead,0,202.58823529411765
1.0,0.9999992251396179,Enhancer_BCL11A,price_rl_wt,0,48.94117647058823
1.0,,Enhancer_BCL11A,random,1,13.470588235294118
1.0,,Enhancer_BCL11A,adalead,1,202.8235294117647
1.0,0.9999996423721313,Enhancer_BCL11A,price_rl_wt,1,200.47058823529412
1.0,,Enhancer_BCL11A,random,2,13.058823529411764
1.0,,Enhancer_BCL11A,adalead,2,202.52941176470588
1.0,0.9999995827674866,Enhancer_BCL11A,price_rl_wt,2,159.11764705882354
1.0,,Enhancer_BCL11A,random,3,10.764705882352942
1.0,,Enhancer_BCL11A,adalead,3,202.76470588235293
1.0,0.9999998211860657,Enhancer_BCL11A,price_rl_wt,3,199.94117647058823
1.0,,Enhancer_BCL11A,random,4,13.058823529411764
1.0,,Enhancer_BCL11A,adalead,4,203.47058823529412
1.0,0.9999995231628418,Enhancer_BCL11A,price_rl_wt,4,180.35294117647058
1.0,,GFP_Sarkisyan2016,random,0,0.007736943907156673
0.9992879033088684,,GFP_Sarkisyan2016,adalead,0,0.0
1.0,0.9999996423721313,GFP_Sarkisyan2016,price_rl_wt,0,1.2688588007736943
1.0,,GFP_Sarkisyan2016,random,1,0.007736943907156673
0.9836289286613464,,GFP_Sarkisyan2016,adalead,1,0.0
1.0,0.9999996423721313,GFP_Sarkisyan2016,price_rl_wt,1,0.11218568665377177
1.0,,GFP_Sarkisyan2016,random,2,0.0038684719535783366
1.0,,GFP_Sarkisyan2016,adalead,2,4.802707930367505
1.0,0.9999987483024597,GFP_Sarkisyan2016,price_rl_wt,2,0.08704061895551257
1.0,,GFP_Sarkisyan2016,random,3,0.0038684719535783366
0.9643059968948364,,GFP_Sarkisyan2016,adalead,3,0.0
1.0,0.9999992251396179,GFP_Sarkisyan2016,price_rl_wt,3,0.3945841392649903
1.0,,GFP_Sarkisyan2016,random,4,0.0038684719535783366
0.9636756777763367,,GFP_Sarkisyan2016,adalead,4,0.0
1.0,0.9999991059303284,GFP_Sarkisyan2016,price_rl_wt,4,0.04061895551257253
1.0,,AAV_Sinai2021,random,0,0.014184397163120567
1.0,,AAV_Sinai2021,adalead,0,5.094562647754137
1.0,0.9999988675117493,AAV_Sinai2021,price_rl_wt,0,0.15130023640661938
1.0,,AAV_Sinai2021,random,1,0.014184397163120567
1.0,,AAV_Sinai2021,adalead,1,3.858156028368794
1.0,0.9999983906745911,AAV_Sinai2021,price_rl_wt,1,0.12293144208037825
1.0,,AAV_Sinai2021,random,2,0.014184397163120567
1.0,,AAV_Sinai2021,adalead,2,0.03309692671394799
1.0,0.9999978542327881,AAV_Sinai2021,price_rl_wt,2,0.6713947990543735
1.0,,AAV_Sinai2021,random,3,0.01182033096926714
1.0,,AAV_Sinai2021,adalead,3,3.631205673758865
1.0,0.999998152256012,AAV_Sinai2021,price_rl_wt,3,0.6903073286052009
1.0,,AAV_Sinai2021,random,4,0.01182033096926714
0.999505877494812,,AAV_Sinai2021,adalead,4,0.0
1.0,0.9999986290931702,AAV_Sinai2021,price_rl_wt,4,3.316784869976359
