best_so_far,mean_R,method,round,seed
1.0,0.03654368014937461,random,0,0
1.0,0.028152554701840367,random,1,0
1.0,0.03413432986839495,random,2,0
1.0,0.04834567087108071,random,3,0
1.0,0.03255839581587379,random,4,0
1.0,0.03248110401909339,random,5,0
1.0,0.030863841219325314,random,6,0
1.0,0.03534776414433313,random,7,0
1.0,0.03832734588027606,random,8,0
1.0,0.01641528010537157,random,9,0
1.0,0.032353161762804276,random,10,0
1.0,0.0294865782263956,random,11,0
1.0,0.032701362323802635,random,12,0
1.0,0.024228268425876907,random,13,0
1.0,0.02510541882508304,random,14,0
1.0,0.04112272444364138,random,15,0
1.0,0.03702465105714753,random,16,0
1.0,0.02861334458596307,random,17,0
1.0,0.020488877574123494,random,18,0
1.0,0.021596956255164425,random,19,0
1.0,0.03654368014937461,pex,0,0
1.0,0.14179856360816556,pex,1,0
1.0,0.26115776505133226,pex,2,0
1.0,0.2942832995404306,pex,3,0
1.0,0.24691568671060793,pex,4,0
1.0,0.2907695032035516,pex,5,0
1.0,0.2441164254514362,pex,6,0
1.0,0.22336682656139345,pex,7,0
1.0,0.19275869100053772,pex,8,0
1.0,0.18995008924597112,pex,9,0
1.0,0.25166004629967637,pex,10,0
1.0,0.2553705040515781,pex,11,0
1.0,0.29815680936746003,pex,12,0
1.0,0.2552507217905878,pex,13,0
1.0,0.2738289210565103,pex,14,0
1.0,0.26069135246665587,pex,15,0
1.0,0.2489020844584363,pex,16,0
1.0,0.24826271370969885,pex,17,0
1.0,0.25084989055712087,pex,18,0
1.0,0.24539014840637194,pex,19,0
1.0,0.03654368014937461,adalead,0,0
1.0,0.6447520075695212,adalead,1,0
1.0,0.8729934394423173,adalead,2,0
1.0,0.9060156510647979,adalead,3,0
1.0,0.8813258639448014,adalead,4,0
1.0,0.9375860065181836,adalead,5,0
1.0,0.9081235134384312,adalead,6,0
1.0,0.9124540507580332,adalead,7,0
1.0,0.9152084798741317,adalead,8,0
1.0,0.9266780975606081,adalead,9,0
1.0,0.8878291864709353,adalead,10,0
1.0,0.9026360525623673,adalead,11,0
1.0,0.8955043275666938,adalead,12,0
1.0,0.8713377858909681,adalead,13,0
1.0,0.8864136256929853,adalead,14,0
1.0,0.9285841437624481,adalead,15,0
1.0,0.9317809746456789,adalead,16,0
1.0,0.8814579380056554,adalead,17,0
1.0,0.9285385060437206,adalead,18,0
1.0,0.8872670959950849,adalead,19,0
1.0,0.021720536952437985,price_rl,0,0
1.0,0.06608052833417259,price_rl,1,0
1.0,0.3617207999206816,price_rl,2,0
1.0,0.7323600570573683,price_rl,3,0
1.0,0.8976988479468571,price_rl,4,0
1.0,0.9328139628783783,price_rl,5,0
1.0,0.9795631151488672,price_rl,6,0
1.0,0.9856715551750955,price_rl,7,0
1.0,0.9918509259745687,price_rl,8,0
1.0,0.9950178739929987,price_rl,9,0
1.0,0.997454347834715,price_rl,10,0
1.0,0.9999484583920194,price_rl,11,0
1.0,1.0,price_rl,12,0
1.0,0.9936069414987405,price_rl,13,0
1.0,1.0,price_rl,14,0
1.0,0.9911904401643515,price_rl,15,0
1.0,0.9950387686557426,price_rl,16,0
1.0,1.0,price_rl,17,0
1.0,0.9909490298407545,price_rl,18,0
1.0,1.0,price_rl,19,0
1.0,0.021720536952437985,price_rl_fixed,0,0
1.0,0.03733398702498814,price_rl_fixed,1,0
1.0,0.052851172773842645,price_rl_fixed,2,0
1.0,0.06895909578497758,price_rl_fixed,3,0
1.0,0.07180517484408937,price_rl_fixed,4,0
1.0,0.09013718483191979,price_rl_fixed,5,0
1.0,0.12564555995403437,price_rl_fixed,6,0
1.0,0.16835005941453496,price_rl_fixed,7,0
1.0,0.19174991303623445,price_rl_fixed,8,0
1.0,0.20987765657136015,price_rl_fixed,9,0
1.0,0.3534445479115577,price_rl_fixed,10,0
1.0,0.29776555079591616,price_rl_fixed,11,0
1.0,0.41906257992209434,price_rl_fixed,12,0
1.0,0.4868006246823508,price_rl_fixed,13,0
1.0,0.579432358031966,price_rl_fixed,14,0
1.0,0.6175276798427157,price_rl_fixed,15,0
1.0,0.6868998950864633,price_rl_fixed,16,0
1.0,0.7941782018972983,price_rl_fixed,17,0
1.0,0.7803998491849103,price_rl_fixed,18,0
1.0,0.8696269198555611,price_rl_fixed,19,0
1.0,0.03666461738112591,random,0,1
1.0,0.023132716150603368,random,1,1
1.0,0.048406149728995505,random,2,1
1.0,0.041554972198423246,random,3,1
1.0,0.024044854360953768,random,4,1
1.0,0.029927945655427824,random,5,1
1.0,0.04251543768662332,random,6,1
1.0,0.029632449138161935,random,7,1
1.0,0.027938361603486415,random,8,1
1.0,0.039545267021692775,random,9,1
1.0,0.05046031560878667,random,10,1
1.0,0.02628568468227463,random,11,1
1.0,0.02098718171811184,random,12,1
1.0,0.028035464300713856,random,13,1
1.0,0.03493658395344023,random,14,1
1.0,0.03121479968043097,random,15,1
1.0,0.028824035899574982,random,16,1
1.0,0.025129434667966376,random,17,1
1.0,0.03121858996948351,random,18,1
1.0,0.03343033120175423,random,19,1
1.0,0.03666461738112591,pex,0,1
1.0,0.15749384043658793,pex,1,1
1.0,0.2716239778378445,pex,2,1
1.0,0.24285299802535548,pex,3,1
1.0,0.2861493080477204,pex,4,1
1.0,0.2221301088423521,pex,5,1
1.0,0.236814127984299,pex,6,1
1.0,0.2355378249532558,pex,7,1
1.0,0.1827600057175799,pex,8,1
1.0,0.27424865574880963,pex,9,1
1.0,0.29932822645751883,pex,10,1
1.0,0.23189328913400664,pex,11,1
1.0,0.19952418851822543,pex,12,1
1.0,0.2371673345018763,pex,13,1
1.0,0.25936228491967966,pex,14,1
1.0,0.2755577961991602,pex,15,1
1.0,0.2514275961891129,pex,16,1
1.0,0.2505389442986991,pex,17,1
1.0,0.23781909555397765,pex,18,1
1.0,0.2567615829875911,pex,19,1
1.0,0.03666461738112591,adalead,0,1
1.0,0.5530015616434095,adalead,1,1
1.0,0.9065610855625917,adalead,2,1
1.0,0.8892808066728116,adalead,3,1
1.0,0.8854991707368771,adalead,4,1
1.0,0.8850724694777786,adalead,5,1
1.0,0.909915156776286,adalead,6,1
1.0,0.9209414818970378,adalead,7,1
1.0,0.8660315356803052,adalead,8,1
