best,cos_T1_min,method,seed,top_1pct
1.0,,random,0,0.0535833891493637
1.0,,pex,0,0.781647689216343
1.0,,adalead,0,4.4943067649028805
1.0,,gflownet_al,0,0.10515740120562625
1.0,0.9999998807907104,price_rl,0,4.876758204956463
1.0,,price_rl_fixed,0,2.9765572672471534
1.0,,random,1,0.05760214333556597
1.0,,pex,1,0.724715338245144
1.0,,adalead,1,4.348961821835231
1.0,,gflownet_al,1,0.11252511721366376
1.0,0.9999998807907104,price_rl,1,4.860683188211654
1.0,,price_rl_fixed,1,3.2786336235766913
1.0,,random,2,0.05626255860683188
1.0,,pex,2,0.8024112525117214
1.0,,adalead,2,4.324849296718018
1.0,,gflownet_al,2,0.09444072337575352
1.0,0.9999998211860657,price_rl,2,5.0080375083724045
1.0,,price_rl_fixed,2,3.5264567983924984
1.0,,random,3,0.06496985934360348
1.0,,pex,3,0.7206965840589418
1.0,,adalead,3,4.3221701272605495
1.0,,gflownet_al,3,0.09778968519758875
1.0,0.9999998211860657,price_rl,3,4.91158740790355
1.0,,price_rl_fixed,3,2.929002009377093
1.0,,random,4,0.0535833891493637
1.0,,pex,4,0.6637642330877428
1.0,,adalead,4,4.333556597454789
1.0,,gflownet_al,4,0.12926992632283993
1.0,0.9999998807907104,price_rl,4,4.881446751507033
1.0,,price_rl_fixed,4,3.579370395177495
1.0,,random,5,0.04688546550569324
1.0,,pex,5,0.8586738111185532
1.0,,adalead,5,4.474882786336236
1.0,,gflownet_al,5,0.13663764233087744
1.0,0.9999998211860657,price_rl,5,4.920964501004689
1.0,,price_rl_fixed,5,3.4561286001339586
1.0,,random,6,0.061620897521768254
1.0,,pex,6,0.8064300066979236
1.0,,adalead,6,4.389149363697254
1.0,,gflownet_al,6,0.07166778298727394
1.0,0.9999998807907104,price_rl,6,4.971198928332217
1.0,,price_rl_fixed,6,3.337575351640991
1.0,,random,7,0.046215673141326186
1.0,,pex,7,0.7213663764233088
1.0,,adalead,7,4.4125920964501
1.0,,gflownet_al,7,0.11922304085733422
1.0,0.9999997019767761,price_rl,7,4.995981245813797
1.0,,price_rl_fixed,7,3.1768251841929
1.0,,random,8,0.05626255860683188
1.0,,pex,8,0.7608841259209645
1.0,,adalead,8,4.402545210984595
1.0,,gflownet_al,8,0.07032819825853985
1.0,0.9999997615814209,price_rl,8,4.993302076356329
1.0,,price_rl_fixed,8,3.5110515740120563
1.0,,random,9,0.044876088412592094
1.0,,pex,9,0.7320830542531815
1.0,,adalead,9,4.351640991292699
1.0,,gflownet_al,9,0.0783657066309444
1.0,0.9999998807907104,price_rl,9,4.876758204956463
1.0,,price_rl_fixed,9,2.9879437374413933
