best_so_far,mean_R,method,round,seed
1.0,0.03654368014937461,random,0,0
1.0,0.028152554701840367,random,1,0
1.0,0.03413432986839495,random,2,0
1.0,0.04834567087108071,random,3,0
1.0,0.03255839581587379,random,4,0
1.0,0.03248110401909339,random,5,0
1.0,0.030863841219325314,random,6,0
1.0,0.03534776414433313,random,7,0
1.0,0.03832734588027606,random,8,0
1.0,0.01641528010537157,random,9,0
1.0,0.032353161762804276,random,10,0
1.0,0.0294865782263956,random,11,0
1.0,0.032701362323802635,random,12,0
1.0,0.024228268425876907,random,13,0
1.0,0.02510541882508304,random,14,0
1.0,0.04112272444364138,random,15,0
1.0,0.03702465105714753,random,16,0
1.0,0.02861334458596307,random,17,0
1.0,0.020488877574123494,random,18,0
1.0,0.021596956255164425,random,19,0
1.0,0.0406169639598172,random,20,0
1.0,0.032078554782767235,random,21,0
1.0,0.05003678899321855,random,22,0
1.0,0.0245709256115138,random,23,0
1.0,0.035400276870518325,random,24,0
1.0,0.03870817663694119,random,25,0
1.0,0.033906116730228364,random,26,0
1.0,0.02877870173144781,random,27,0
1.0,0.032646718043052435,random,28,0
1.0,0.02576367452937534,random,29,0
1.0,0.02439392468676173,random,30,0
1.0,0.028736771726186477,random,31,0
1.0,0.04399029595643766,random,32,0
1.0,0.03826504439067579,random,33,0
1.0,0.02416156228729015,random,34,0
1.0,0.03160545871420675,random,35,0
1.0,0.04378015995452,random,36,0
1.0,0.03589153872920152,random,37,0
1.0,0.017037750953000495,random,38,0
1.0,0.047081620555522355,random,39,0
1.0,0.03654368014937461,pex,0,0
1.0,0.14179856360816556,pex,1,0
1.0,0.26115776505133226,pex,2,0
1.0,0.2942832995404306,pex,3,0
1.0,0.24691568671060793,pex,4,0
1.0,0.2907695032035516,pex,5,0
1.0,0.2441164254514362,pex,6,0
1.0,0.22336682656139345,pex,7,0
1.0,0.19275869100053772,pex,8,0
1.0,0.18995008924597112,pex,9,0
1.0,0.25166004629967637,pex,10,0
1.0,0.2553705040515781,pex,11,0
1.0,0.29815680936746003,pex,12,0
1.0,0.2552507217905878,pex,13,0
1.0,0.2738289210565103,pex,14,0
1.0,0.26069135246665587,pex,15,0
1.0,0.2489020844584363,pex,16,0
1.0,0.24826271370969885,pex,17,0
1.0,0.25084989055712087,pex,18,0
1.0,0.24539014840637194,pex,19,0
1.0,0.20580824964061273,pex,20,0
1.0,0.24869783677146193,pex,21,0
1.0,0.22976940316343256,pex,22,0
1.0,0.22088937978205236,pex,23,0
1.0,0.2851228257098934,pex,24,0
1.0,0.23254517956061754,pex,25,0
1.0,0.2459199930855071,pex,26,0
1.0,0.2767850446276157,pex,27,0
1.0,0.221695873595934,pex,28,0
1.0,0.28017883017477424,pex,29,0
1.0,0.26218830151567785,pex,30,0
1.0,0.26440664491644855,pex,31,0
1.0,0.23363842953257946,pex,32,0
1.0,0.21619491338644006,pex,33,0
1.0,0.22191865639389458,pex,34,0
1.0,0.2813341934704253,pex,35,0
1.0,0.26195154003057497,pex,36,0
1.0,0.21967381776116504,pex,37,0
1.0,0.2501922234761522,pex,38,0
1.0,0.2417638663896547,pex,39,0
1.0,0.03654368014937461,adalead,0,0
1.0,0.6447520075695212,adalead,1,0
1.0,0.8729934394423173,adalead,2,0
1.0,0.9060156510647979,adalead,3,0
1.0,0.8813258639448014,adalead,4,0
1.0,0.9375860065181836,adalead,5,0
1.0,0.9081235134384312,adalead,6,0
1.0,0.9124540507580332,adalead,7,0
1.0,0.9152084798741317,adalead,8,0
1.0,0.9266780975606081,adalead,9,0
1.0,0.8878291864709353,adalead,10,0
1.0,0.9026360525623673,adalead,11,0
1.0,0.8955043275666938,adalead,12,0
1.0,0.8713377858909681,adalead,13,0
1.0,0.8864136256929853,adalead,14,0
1.0,0.9285841437624481,adalead,15,0
1.0,0.9317809746456789,adalead,16,0
1.0,0.8814579380056554,adalead,17,0
1.0,0.9285385060437206,adalead,18,0
1.0,0.8872670959950849,adalead,19,0
1.0,0.9175008855627346,adalead,20,0
1.0,0.9355234386606588,adalead,21,0
1.0,0.925075506294284,adalead,22,0
1.0,0.9419564876677765,adalead,23,0
1.0,0.929766401619231,adalead,24,0
1.0,0.8877311865200767,adalead,25,0
1.0,0.9093742860079647,adalead,26,0
1.0,0.916967651034148,adalead,27,0
1.0,0.8808770697583239,adalead,28,0
1.0,0.8703089519325576,adalead,29,0
1.0,0.9163790367357081,adalead,30,0
1.0,0.9265035019890577,adalead,31,0
1.0,0.925265132717724,adalead,32,0
1.0,0.9189720262160421,adalead,33,0
1.0,0.8833952483397005,adalead,34,0
1.0,0.9097943630109389,adalead,35,0
1.0,0.9053715338715879,adalead,36,0
1.0,0.8721708523759559,adalead,37,0
1.0,0.9139098388041335,adalead,38,0
1.0,0.9405530495709374,adalead,39,0
1.0,0.021720536952437985,gflownet_al,0,0
1.0,0.055406446636263415,gflownet_al,1,0
1.0,0.03920829785402107,gflownet_al,2,0
1.0,0.025596311127926243,gflownet_al,3,0
1.0,0.049953727250117354,gflownet_al,4,0
1.0,0.06927237517215819,gflownet_al,5,0
1.0,0.04346965244196313,gflownet_al,6,0
1.0,0.05610894702854962,gflownet_al,7,0
1.0,0.05177780399062956,gflownet_al,8,0
1.0,0.05569241313862834,gflownet_al,9,0
1.0,0.04910274101356627,gflownet_al,10,0
1.0,0.04113496620261636,gflownet_al,11,0
1.0,0.06914706219880064,gflownet_al,12,0
1.0,0.06418836767465037,gflownet_al,13,0
1.0,0.04728722842835213,gflownet_al,14,0
1.0,0.06177107264284398,gflownet_al,15,0
1.0,0.02829703646563936,gflownet_al,16,0
1.0,0.06222937374241431,gflownet_al,17,0
1.0,0.03174581904496261,gflownet_al,18,0
1.0,0.03703930808101028,gflownet_al,19,0
1.0,0.049025638386522574,gflownet_al,20,0
1.0,0.051445699732874245,gflownet_al,21,0
1.0,0.05906350055026005,gflownet_al,22,0
1.0,0.057196641017926736,gflownet_al,23,0
1.0,0.06201990308946742,gflownet_al,24,0
1.0,0.07346557703384513,gflownet_al,25,0
1.0,0.08413867956407987,gflownet_al,26,0
1.0,0.05058030718127652,gflownet_al,27,0
1.0,0.07088478092506438,gflownet_al,28,0
1.0,0.06264234501862394,gflownet_al,29,0
