method,seed,round,rho,proxy_R,true_R,reward_gap,proxy_unc_mean,proxy_unc_max,alpha_S,alpha_T
price_rl,0,0,1.0,0.5152997067198157,0.5004775668132294,0.014822139906586318,0.028758896453513712,0.06664759372869028,3.216028394971566,1.2437701129300403
price_rl,0,1,0.7646120398187175,0.5404818286187947,0.49971085747403216,0.040770971144762524,0.028739000944637216,0.11737160015788889,2.842058513724188,1.4074305580564785
price_rl,0,2,0.7611036182797363,0.5700283944606781,0.49003322537645355,0.07999516908422455,0.02839934549570553,0.07260505712532586,2.9865474639233685,1.3393391694988428
price_rl,0,3,0.7245156341212983,0.5769425183534622,0.4888917828828492,0.08805073547061304,0.02500138873498705,0.06227733940828863,3.039156970410166,1.316154459590206
price_rl,0,4,0.8263687788557115,0.6033355854451656,0.500479517969546,0.1028560674756196,0.02941023004052785,0.06328796763396954,3.5016832411025924,1.142307777313547
price_rl,0,5,0.7805917916253542,0.619536442682147,0.5044579050405442,0.11507853764160281,0.029958688838742385,0.07257118501009722,3.5788066140859565,1.1176910158420557
price_rl,0,6,1.0,0.6671196892857552,0.49998193865149954,0.16713775063425562,0.03445550866384144,0.08321916100242666,4.662657446565264,0.857879877696482
price_rl,0,7,0.7649823933095194,0.6916649397462606,0.5034323398368805,0.18823259990938013,0.03561971705312577,0.06788353822956479,4.121918979901455,0.9704217912831538
price_rl,0,8,0.5693296452768251,0.6962362499907613,0.4941506849063109,0.20208556508445036,0.033792924527765195,0.06455109689911732,3.6090522194114545,1.1083242238740172
price_rl,0,9,0.7707648147459053,0.7116403616964817,0.5067819173581445,0.20485844433833722,0.03770843818859877,0.06720949045235058,4.431218199371172,0.9026863088275893
price_rl,0,10,1.0,0.7322398470714688,0.4906592734054652,0.2415805736660036,0.03855646051454155,0.0695413484928902,5.81593127584758,0.6877660361310001
price_rl,0,11,0.5985761021233678,0.739441161043942,0.5014010561662072,0.23804010487773475,0.04009817858307226,0.07440901848110935,4.389644396731665,0.9112355440404747
delta_cs,0,0,nan,0.5143172573298216,0.5148489908151561,-0.000531733485334529,0.01545062800991154,,,
delta_cs,0,1,nan,0.5919926073402166,0.5391531317443006,0.05283947559591606,0.02385318489297203,,,
delta_cs,0,2,nan,0.5915677212178707,0.5313536705337377,0.06021405068413299,0.030346315104933824,,,
delta_cs,0,3,nan,0.6152887688949704,0.5247999563012573,0.09048881259371311,0.032711881333981056,,,
delta_cs,0,4,nan,0.6513337539508939,0.5021899464979802,0.14914380745291367,0.03774219840274906,,,
delta_cs,0,5,nan,0.6239999495446682,0.5171085005872592,0.10689144895740899,0.03976391919625033,,,
delta_cs,0,6,nan,0.6293109618127346,0.5117316202689604,0.11757934154377425,0.03716887774008572,,,
delta_cs,0,7,nan,0.6970015075057745,0.5060543616556895,0.190947145850085,0.05299417262023222,,,
delta_cs,0,8,nan,0.7187642399221659,0.4759107351779673,0.2428535047441986,0.062097419828412874,,,
delta_cs,0,9,nan,0.729364468716085,0.519227220855387,0.21013724786069798,0.06239069375510983,,,
delta_cs,0,10,nan,0.6645532744005322,0.5064666638681774,0.15808661053235484,0.04423665302507163,,,
delta_cs,0,11,nan,0.6620340403169394,0.5066652492527692,0.15536879106417012,0.046300902239322796,,,
price_rl,1,0,1.0,0.48913991125300527,0.4973926437498192,-0.008252732496813908,0.03100263313572018,0.06860158561942574,3.216028394971566,1.2437701129300403
price_rl,1,1,0.7687065533709089,0.5128907253965735,0.49912454824840263,0.01376617714817091,0.026507936015580855,0.06767633973477125,2.853135047186427,1.4019665854739456
price_rl,1,2,0.6474399377861835,0.5424099927768111,0.5043715739482636,0.03803841882854753,0.03149756303888542,0.08161426542743022,2.6830559698083833,1.4908373306449025
price_rl,1,3,0.7133541875980546,0.576813381165266,0.5020579786296772,0.07475540253558888,0.031521036115716376,0.07812822452211565,2.941921552116572,1.3596555615571027
price_rl,1,4,0.8364375395886574,0.594134452752769,0.5108378376384415,0.08329661511432751,0.028226628302599685,0.07310612412568186,3.4509963240117103,1.159085558036783
price_rl,1,5,0.6774081393360062,0.634335489012301,0.5055561760125149,0.12877931299978607,0.02868897115283679,0.06332976402206789,3.173618934959828,1.2603907658657298
price_rl,1,6,0.7140073177990133,0.6460201628506184,0.4984199162641888,0.14760024658642956,0.028246856886358584,0.07067412239226051,3.4045861964403388,1.1748858067339272
price_rl,1,7,0.6763890723617733,0.6672014920040965,0.48387011451681916,0.18333137748727735,0.03149385753727703,0.0747105345980857,3.4287217853771104,1.1666155058305663
price_rl,1,8,0.7337380762082583,0.7122280234470963,0.5067734074930778,0.2054546159540186,0.03222426715297663,0.06837779663955078,3.7507165529895037,1.0664628860882077
price_rl,1,9,0.7821004647648786,0.7301465217024088,0.5055466562660058,0.22459986543640298,0.03615969257600989,0.07127974272469119,4.114999805637518,0.9720535088531551
price_rl,1,10,0.6941139465746301,0.7502734288573265,0.5164053879531363,0.23386804090419022,0.03714616983621695,0.06593956581258786,4.00471207907818,0.9988233663281818
price_rl,1,11,0.8907102386030721,0.7679380504414439,0.5071673404176948,0.2607707100237491,0.041430393279666564,0.07239994685858189,5.018148065130545,0.7971068107365505
delta_cs,1,0,nan,0.49109403509646654,0.4884418726193327,0.002652162477133846,0.012671382155367847,,,
delta_cs,1,1,nan,0.5529906833544374,0.5127110527003453,0.040279630654092013,0.02393102182924866,,,
delta_cs,1,2,nan,0.5958662489429116,0.4969862227833727,0.09888002615953895,0.03077532138448668,,,
delta_cs,1,3,nan,0.623777449131012,0.501247897778822,0.12252955135219001,0.037429401533740636,,,
delta_cs,1,4,nan,0.6464129788801074,0.5041333931686802,0.14227958571142718,0.0423315020190671,,,
delta_cs,1,5,nan,0.6364358896389604,0.5154467744421379,0.12098911519682243,0.031114357593692854,,,
delta_cs,1,6,nan,0.6082446118816733,0.49567984639406154,0.1125647654876118,0.02993015957302765,,,
delta_cs,1,7,nan,0.6451404774561524,0.49436341994215893,0.1507770575139935,0.03768942278237903,,,
delta_cs,1,8,nan,0.6767040034756064,0.4965403087169156,0.18016369475869082,0.04937234551387791,,,
delta_cs,1,9,nan,0.6168629983440042,0.5076422829636652,0.10922071538033895,0.04294250748947054,,,
delta_cs,1,10,nan,0.5829284731298685,0.4927764277817961,0.09015204534807242,0.03709707741245495,,,
delta_cs,1,11,nan,0.7118799416348338,0.5460555886709308,0.16582435296390297,0.08179809057903575,,,
price_rl,2,0,1.0,0.49488682951778173,0.5032508541495592,-0.008364024631777434,0.032712316516712664,0.07301373914773308,3.216028394971566,1.2437701129300403
