N,K,seed,best_random,best_adalead,best_price_rl,cos_T1_min
30,3,0,0.85,1.0,0.95,0.9999998211860657
30,3,1,0.85,1.0,1.0,0.0
30,3,2,0.8,1.0,0.95,0.9999998211860657
30,3,3,0.9,1.0,1.0,0.0
30,3,4,0.8,1.0,1.0,0.0
30,5,0,0.7916666666666666,1.0,1.0,0.9999998807907104
30,5,1,0.75,1.0,1.0,0.9999998807907104
30,5,2,0.7916666666666666,1.0,1.0,0.0
30,5,3,0.7916666666666666,1.0,1.0,0.9999998807907104
30,5,4,0.75,1.0,1.0,0.9999998807907104
30,10,0,0.7777777777777777,1.0,1.0,0.9999998807907104
30,10,1,0.7777777777777777,1.0,1.0,0.0
30,10,2,0.8148148148148148,1.0,1.0,0.0
30,10,3,0.8148148148148149,1.0,1.0,0.0
30,10,4,0.7777777777777777,1.0,1.0,0.0
60,3,0,0.675,0.95,0.975,0.9999998807907104
60,3,1,0.675,0.925,1.0,0.9999998807907104
60,3,2,0.7,0.975,0.975,0.9999998807907104
60,3,3,0.725,0.925,0.975,0.9999998807907104
60,3,4,0.725,0.95,0.975,0.9999997615814209
60,5,0,0.6875,0.9166666666666666,1.0,0.9999998211860657
60,5,1,0.6666666666666666,0.9375,1.0,0.9999998807907104
60,5,2,0.6875,0.8958333333333334,1.0,0.9999999403953552
60,5,3,0.6666666666666666,0.9583333333333334,1.0,0.9999998211860657
60,5,4,0.6875,0.9166666666666666,1.0,0.0
60,10,0,0.6666666666666666,0.9074074074074074,1.0,0.9999998211860657
60,10,1,0.7037037037037037,0.9074074074074074,1.0,0.9999998211860657
60,10,2,0.6851851851851851,0.9259259259259259,1.0,0.9999998807907104
60,10,3,0.6481481481481483,0.9074074074074074,1.0,0.9999998807907104
60,10,4,0.6481481481481481,0.9074074074074074,1.0,0.0
120,3,0,0.65,0.8375,0.9875,0.9999999403953552
120,3,1,0.6,0.7875,0.9875,0.9999998807907104
120,3,2,0.6875,0.85,0.95,0.9999999403953552
120,3,3,0.6375,0.8,0.9375,0.9999997615814209
120,3,4,0.625,0.8375,0.925,0.9999998211860657
120,5,0,0.6145833333333334,0.8020833333333334,1.0,0.9999998211860657
120,5,1,0.5833333333333334,0.78125,1.0,0.9999997615814209
120,5,2,0.5729166666666666,0.7604166666666666,0.9791666666666666,0.9999997615814209
120,5,3,0.5833333333333334,0.7916666666666666,1.0,0.9999997615814209
120,5,4,0.6041666666666666,0.7708333333333334,0.9895833333333334,0.9999998211860657
120,10,0,0.6203703703703703,0.7962962962962964,1.0,0.9999998807907104
120,10,1,0.6203703703703703,0.7870370370370371,1.0,0.9999997615814209
120,10,2,0.611111111111111,0.7870370370370371,1.0,0.9999998807907104
120,10,3,0.6111111111111113,0.8148148148148149,1.0,0.9999998807907104
120,10,4,0.5833333333333334,0.8055555555555555,0.9907407407407408,0.9999998211860657
