task,base_lr,inner_steps,support_q,best_mean,best_std,cos_T1_min
NK_K10,0.5,4,0.02,0.6957334318994552,0.018525051591814286,0.9999998211860657
NK_K10,0.5,4,0.05,0.6817678464832314,0.020819781216461913,0.9999998211860657
NK_K10,0.5,4,0.1,0.6871924988257788,0.015667746785682998,0.9999998211860657
NK_K10,0.5,4,0.2,0.6870957702690439,0.01269758777119497,0.9999998211860657
NK_K10,0.5,8,0.02,0.7048985512815392,0.021645169312710807,0.9999997615814209
NK_K10,0.5,8,0.05,0.7093496357164231,0.02034743412395851,0.9999998211860657
NK_K10,0.5,8,0.1,0.6864908913372976,0.021090143858006574,0.9999998211860657
NK_K10,0.5,8,0.2,0.6845353184011411,0.023611318725258096,0.9999998807907104
NK_K10,0.5,16,0.02,0.6966604782972421,0.018436956855444817,0.9999998807907104
NK_K10,0.5,16,0.05,0.7066892722325395,0.014962075605271595,0.9999998807907104
NK_K10,0.5,16,0.1,0.6811062944170783,0.01738194295822284,0.9999998211860657
NK_K10,0.5,16,0.2,0.6741771775459023,0.01234968608934064,0.9999998211860657
NK_K10,1.0,4,0.02,0.7127908901737668,0.03202851568119126,0.9999998807907104
NK_K10,1.0,4,0.05,0.715478586315285,0.031339528766610135,0.9999998807907104
NK_K10,1.0,4,0.1,0.6887150639510613,0.014077089458083654,0.9999998211860657
NK_K10,1.0,4,0.2,0.6830053909995295,0.018415595520147546,0.9999998211860657
NK_K10,1.0,8,0.02,0.6910184349989548,0.025574459339163767,0.9999998211860657
NK_K10,1.0,8,0.05,0.7023199150856123,0.008167588149829694,0.9999998211860657
NK_K10,1.0,8,0.1,0.6768120003686147,0.01091852992852753,0.9999998211860657
NK_K10,1.0,8,0.2,0.7035239363236557,0.038870779459222696,0.9999998211860657
NK_K10,1.0,16,0.02,0.7165467448526297,0.04364198370236229,0.9999998211860657
NK_K10,1.0,16,0.05,0.6899715804088589,0.028708555979163188,0.9999998211860657
NK_K10,1.0,16,0.1,0.7146812371853738,0.02229287371169905,0.9999998807907104
NK_K10,1.0,16,0.2,0.6958946776776606,0.022272828777052476,0.9999998807907104
NK_K10,2.0,4,0.02,0.7186255210276948,0.020206248651016702,0.9999998807907104
NK_K10,2.0,4,0.05,0.7008404180659678,0.026240893971805578,0.9999997615814209
NK_K10,2.0,4,0.1,0.6860436918870736,0.01776327786536021,0.9999998807907104
NK_K10,2.0,4,0.2,0.6745626854206332,0.013321241199181707,0.9999998211860657
NK_K10,2.0,8,0.02,0.6901510093244294,0.01993654892507627,0.9999998211860657
NK_K10,2.0,8,0.05,0.6836658220338094,0.024533152763197886,0.9999998211860657
NK_K10,2.0,8,0.1,0.7179023609789552,0.015847044841806508,0.9999998807907104
NK_K10,2.0,8,0.2,0.7124207632001776,0.02364561689539788,0.9999998211860657
NK_K10,2.0,16,0.02,0.682623742296194,0.026480505199591536,0.0
NK_K10,2.0,16,0.05,0.6820472846827652,0.02648095100636067,0.0
NK_K10,2.0,16,0.1,0.6816296346708995,0.0269032551626672,0.9999998211860657
