best,cos_T1_min,method,n_queries,seed,top_1pct
1.0,0.9999998807907104,price_rl_closed_loop,500,0,0.08238446081714669
1.0,,adalead_closed_loop,500,0,0.18754186202277295
1.0,0.9999999403953552,price_rl_closed_loop,500,1,0.11989283322170127
1.0,,adalead_closed_loop,500,1,0.18888144675150703
1.0,0.9999998807907104,price_rl_closed_loop,500,2,0.09511051574012057
1.0,,adalead_closed_loop,500,2,0.07300736771600803
1.0,0.9999998807907104,price_rl_closed_loop,500,3,0.11855324849296718
1.0,,adalead_closed_loop,500,3,0.1855324849296718
1.0,0.9999998807907104,price_rl_closed_loop,500,4,0.13663764233087744
1.0,,adalead_closed_loop,500,4,0.16945746818486268
